no,cex,chain,nama_token,ticker,sc,decimals,feeWD,trade,deposit,withdraw,price
1106,MEXC,bsc,G8Day,G8D,0x00E2a5eb6369BE46a35dA704B9b6D3711ed70186,18,0,OFF,false,true,
1107,MEXC,bsc,Reborn dollar,REBD,0x4b497A84FE1b0df682425799C0580355B0DC05b8,18,0,OFF,false,true,
1108,MEXC,bsc,PinkNinja,PINKNINJA,0x9032e5689038332d0315228a27fB3B6517B088BB,6,0,OFF,false,true,
1109,MEXC,bsc,FWC Token,FWC,0x6D3a160B86eDcD46D8F9bBa25c2F88ccCADe19fc,9,21379831558,OFF,true,true,
1110,MEXC,bsc,Attarius Network,ATRS,0x68d4F8821731057c1b8DD4E74CD2956f4761c58C,18,0,OFF,false,true,
1111,MEXC,bsc,Unix,UNIX,0x6F03dB55a9954E95819a305814AD2E2a3acb9b28,18,0,OFF,false,true,
1112,MEXC,bsc,Hyper Finance ,HYFI,0x9a319b959e33369C5eaA494a770117eE3e585318,18,0,OFF,false,true,
1113,MEXC,bsc,FoxFunnies,FXN,0x62DcA6A44d226359Cc6D24D23f26EBf1da9794C1,18,210,OFF,false,true,
1114,MEXC,bsc,Leviatanbonk,LEVIATANBONK,0xD8D65F7115FBd11FfddC95C96c9CE38CE80848dB,18,0,OFF,false,false,
1115,MEXC,bsc,Sonorus,SONORUS,0xF3A587d1AC967b40DB59223434BAf0C6e11588EA,18,55,OFF,true,true,
1116,MEXC,bsc,LayerEdge,EDGEN,0x0C808F0464C423d5Ea4F4454fcc23B6E2Ae75562,18,30,ON,true,true,0.006104
1117,MEXC,bsc,AmazingDoge,ADOGE,0x0EBc30459551858e81306d583025d12C7d795FA2,9,0,OFF,false,true,
1118,MEXC,bsc,SLERFNFT,SLERFNFT,0x3965882d142Ac3837C8c01B301cba8fd43315596,18,0,OFF,false,true,
1119,MEXC,bsc,ACryptoSI,ACSI,0x5b17b4d5e4009b5c43e3e3d63a5229f794cba389,18,0,OFF,false,true,
1120,MEXC,bsc,Game Ace Token,GATOLD,0xf315cfc8550f6fca969d397ca8b807c5033fa122,18,100,OFF,false,false,
1121,MEXC,bsc,BIT MATRIX BRAWL,BITMAT,0x5D8B5597fFcC4a5A3b3BF48b50CEe0eDf01E2B3E,18,0,OFF,false,true,
1122,MEXC,bsc,SHIB-BSC,SHIB,0x2859e4544C4bB03966803b044A93563Bd2D0DD4D,18,39639,ON,true,true,0.0000122
1123,MEXC,bsc,Grok Cat,GROKCAT,0x4615C8E2db74517a34712C9BdEA5C418D999014B,9,0,OFF,false,true,
1124,MEXC,bsc,XAIDOGE,DOGEAIOLD2,0x1A326f27a2f781312fD835f3C5590E3204e6DA78,18,0,OFF,false,false,
1125,MEXC,bsc,AIMMT,AIMMT,0x81f0FC25586E47047fff647E9A3fEFb0C1D356C3,18,0,OFF,false,true,
1126,MEXC,bsc,NFT Art Finance,NFTART,0xf7844cb890f4c339c497aeab599abdc3c874b67a,9,0,OFF,false,true,
1127,MEXC,bsc,BlackCardCoin,BCCOIN,0x450593Bf7f2d7E559E38496CfB06bDCE5E963795,18,11,ON,true,true,0.01523
1128,MEXC,bsc,PolyPad,POLYPAD,0x8AE619D633cCe175A2fBcfA1cEA119DDC80F1342,18,0,OFF,false,true,
1129,MEXC,bsc,AICoin,AICOIN1,0xC8354507f0361712143efa635cCE060788888888,18,0,OFF,false,true,
1130,MEXC,bsc,NOTAI,NOTAI,0xCf10117b30C7a5FC7C77B611bFC2555610DD4B3A,18,13974,OFF,true,true,
1131,MEXC,bsc,GenieGenius,GEGS,0xC433DB2E647f60bb478730Aa7eeA0314ee456FFE,18,0,OFF,false,true,
1132,MEXC,bsc,Dexioprotocol,DEXIOLD,0x29b1E39A529d3B3cacEA55989594F71813e998Bb,18,0,OFF,false,true,
1133,MEXC,bsc,GROK CEO,GROKCEO,0x6294DEB10817e47a4EE6869DB59c85F3eF4BEE29,9,0,OFF,false,true,
1134,MEXC,bsc,Earn Guild,EARNOLD,0xB0eB3e295B44d7D405ba8026A9734A9ab354a8B2,8,0,OFF,false,false,
1135,MEXC,bsc,GetKicks,KICKS,0xfEB4e9B932eF708c498Cc997ABe51D0EE39300cf,18,0,OFF,false,true,
1136,MEXC,bsc,Diamond castle,DMCK,0xF2102011194920Ea2506479051b386d1C0E5cc96,18,0,OFF,false,true,
1137,MEXC,bsc,Zenith Coin,ZENITH,0x57c81885faad67fc4de892102f6fead3b9215f6b,18,66,OFF,false,false,
1138,MEXC,bsc,GAG Token,GAG,0xAD600060a153bc35BD8997ceFE959EFb19026757,4,9,OFF,true,true,
1139,MEXC,bsc,WORLD AI,WORLDAI,0x20300079735163a58D9e9512d05Ea1eD8D8FA87C,18,0,OFF,false,true,
1140,MEXC,bsc,Madonna del Gatto,GATTO,0x8B4C03308579A0C4166b44F84565D97378303247,18,0,OFF,false,true,
1141,MEXC,bsc,Galactic Arena,GAN,0x8f1408171eae06aec4549fd0a5808a42cee6dd84,18,0,OFF,false,true,
1142,MEXC,bsc,GAPNexus,GAP,0xEFf8CedDEa7B11BaF4006bF510A9518C4A546458,18,0,OFF,false,true,
1143,MEXC,bsc,Galaxy Wallet,GAX,0xD5d63074A39Bc0202E828B044C02c6F4d2f75c76,18,0,OFF,false,false,
1144,MEXC,bsc,Crazy Dave,CRAZYDAVE,0x4b56a0Db9C960e2577979F7ab03e26AB195CFD58,9,0,OFF,false,true,
1145,MEXC,bsc,Citadel.one,XCT,0xe8670901e86818745b28c8b30b17986958fce8cc,6,0,OFF,false,true,
1146,MEXC,bsc,XCarnival,XCV,0x4be63a9b26EE89b9a3a13fd0aA1D0b2427C135f8,18,93,ON,true,true,0.00111
1147,MEXC,bsc,Xeleb Protocol,XCX,0xE32f9e8F7f7222fcd83EE0fC68bAf12118448Eaf,18,3,ON,true,true,0.0366
1148,MEXC,bsc,BOMESS,BOMESS,0x547C47c59Fc27010311Dc6A6395A95cc8DD2a1D1,18,0,OFF,false,true,
1149,MEXC,bsc,GemGuardian,GEMG,0x885c5fb8f0e67b2b0cf3a437e6cc6ebc0f9f9014,18,0,OFF,false,true,
1150,MEXC,bsc,Star Pepe,STARPEPE,0xd3317Ea3178fb1852C7dB37C6D50E4C823A734bC,18,0,OFF,false,true,
1151,MEXC,bsc,Launchplaza,LAUNCH,0xc30151A3E4E739730df4EF381F6461d608b72a4D,18,0,OFF,false,true,
1152,MEXC,bsc,JOKER,JOKER,0x57C58c724460f10BD75fFaC248C2621818C086D5,9,3119090559441,OFF,false,true,
1153,MEXC,bsc,Gold Coin Cat,GCC,0x152f3C309da1e177b37C021A381EFd79C903A049,18,0,OFF,false,true,
1154,MEXC,bsc,GCB TOKEN,GCB,0x84f70be4DEb029d5f8AACBeAcC74c4dC10737342,18,5,OFF,true,true,
1155,MEXC,bsc,Warena,RENA,0xa9D75Cc3405F0450955050C520843f99Aff8749D,18,0,OFF,false,true,
1156,MEXC,bsc,Genshiro,GENS,0x2CD14cbA3F26254beeD1d78158cd2B6F91809600,18,0,OFF,false,true,
1157,MEXC,bsc,GredonMe,GDM,0x61aC2b0fCffAE6e62Ec62C20BBB552a914513B41,18,0,OFF,false,true,
1158,MEXC,bsc,Gemflow,GEF,0x0d4409fa8CA900410Eb0eb0BAfEf69A8EB7f332d,18,0,OFF,false,true,
1159,MEXC,bsc,GinzaEternityReward,GER,0x0e9b29aa5aed3d65867db8b980484c8c49a7f915,18,2059,OFF,false,true,
1160,MEXC,bsc,Giraffe,GFF,0xe18a37b10FBA44cA7233C78A8bf75f9fe1EDBE96,18,0,OFF,false,true,
1161,MEXC,bsc,F,FBNB,0xD6a8dC25b26BeB85cD0eEf63e5d8D32048113b51,18,0,OFF,false,true,
1162,MEXC,bsc,Gifto,GFT,0x72fF5742319eF07061836F5C924aC6D72c919080,18,0,OFF,false,true,
1163,MEXC,bsc,GAMYFI ,GFX,0xe4fa3c576c31696322e8d7165c5965d5a1f6a1a5,18,0,OFF,false,false,
1164,MEXC,bsc,XEN Crypto,BXEN,0x2AB0e9e4eE70FFf1fB9D67031E44F6410170d00e,18,506357341,OFF,true,true,
1165,MEXC,bsc,XHYPE,XHP,0x747747E47a48C669Be384E0DFb248eEe6BA04039,18,81,OFF,true,true,
1166,MEXC,bsc,Zomfi,ZOMFI,0xb1a05d0ee3c8d936f70b77318a348c0de2f8a396,18,0,OFF,false,true,
1167,MEXC,bsc,GGrid Network Token,GGD,0x003139915dEE529BC43446E53905F852267D360f,18,0,OFF,false,true,
1168,MEXC,bsc,SharkCoin,SHRK,0x756c1A6135786A86dBdcee4897256992180675b2,18,50,OFF,false,false,
1169,MEXC,bsc,Health Link,HTKOLD,0x13133eB0dfa90CdefDDD13Eac0653c41Fd7A3AEF,18,0,OFF,false,true,
1170,MEXC,bsc,GG3,GGX,0x7bedaA6e5f43e1d83d667CfE770252a32532369E,18,6,ON,true,true,0.02047
1171,MEXC,bsc,Giftedhands,GHD,0xfDFD27aE39cebefDBaAc8615F18aa68DDD0F15f5,18,0,OFF,false,true,
1172,MEXC,bsc,Galaxy Heroes Coin,GHC,0xd10Fe9d371C22416df34340287cd5D9029842Fc3,18,0,OFF,false,true,
1173,MEXC,bsc,ATM,LUCA,0x51E6Ac1533032E72e92094867fD5921e3ea1bfa0,18,0,OFF,false,false,
1174,MEXC,bsc,Luckify,LUCK,0x5bc247A5fc7DC148b682787C58f6f764ce27581b,18,0.5,ON,true,true,0.3977
1175,MEXC,bsc,QBOT AI TRADING,QBOT,0xb743bC78806e7DB73b26Fa6Bf27E40C419809Edd,18,2852884765500,OFF,true,true,
1176,MEXC,bsc,FU Coin,FUCOIN,0xED6AF21Df463c7f116A6d7d687A4c190c4cf7586,18,32209,OFF,true,true,
1177,MEXC,bsc,Evolve Chain,EUROLD,0x3A12aE49B301cc7C0d4111D266188ac6D848564E,18,0,OFF,false,true,
1178,MEXC,bsc,SMART CAT,SMARTCAT,0x757545B2bA1526EA0d27dcB0a1cCa4b25B3C6065,18,0,OFF,false,true,
1179,MEXC,bsc,AssetMint,ASSETMINT,0x1C5AeF2A6fd93a5018C94362087A9F679663aAfF,9,20,ON,true,true,1.5e-7
1180,MEXC,bsc,ApeSwapFinance,BANANAOLD,0x603c7f932ED1fc6575303D8Fb018fDCBb0f39a95,18,100,OFF,false,false,
1181,MEXC,bsc,RaiseEntertainmentT.,RETS,0xD3c3DA2C0b9b29286F9692B1d27D74E69D9CE639,18,0,OFF,false,true,
1182,MEXC,bsc,Link Network,LINKE,0xe52Ed110BD76fd0A328915bE8a2b13aFA9950345,18,0.5,OFF,true,true,
